job_title,matched_standard_role
"General Manager, Financial Corporation Department",Finance Manager
Miwako Suzuki Sagamihara Center - Clerical Staff,Administration Manager
"Kazuma Suzuki, Product Department, GL, Clerical Staff",Administration Manager
"Steel Division, PM",Manager Project Management
Bank,Banker
banker,Banker
Bank Teller,Banker
"General Manager, Nagasaki Development Department",Development Manager
門間信之 江東支店 ＧＬ 事務職,Administrative Employee
development,Developer
Development SRE,Developer
Development TCR,Developer
Development Engineer,Developer
"Development, Director",Executive Director of Development
"Development, Design",Developer
Development & Management,Developer
Development & Design,Developer
Development Dept. 1,Developer
Development Team 2,Developer
Development Dept. 2,Developer
"General Manager, Development Dept. 3",Development Manager
Development Dept. 5,Developer
Development Dept. 6,Developer
"Leader, Development IT Support Department",Information Technology Support Specialist
"Development IT Support Department, Managerial Position",Information Technology Manager
Development Engineer,Technology Development Engineer
Accounting,Accountant
Person in charge,Information Technology Manager
Corporate IT,Information Technology Generalist
Deputy,Director of Information Technology
Representative Crackdown,Chief Executive Officer
General Affairs Officer,Administrative Employee
Full-time*,Information Technology Generalist
Real Estate,Real Estate Specialist
Information and communication industry,Information Technology Generalist
dispatch,Contract Worker
Web Director,Director of Web Development
Director,Director General
Project Management,Project Administrator
Senior Executive Officer,Director of Administration
Principal Officer,Information Technology Manager
Temporary Employees,Contract Worker
Professional & Technical Positions,Information Technology Generalist
Technical Employees,Information Technology Generalist
new employee,Information Technology Generalist
evangelist,Marketing Specialist
not,Unemployed
Staff Positions,Information Technology Generalist
Researchers,Research Employee
Senior Experts,Insurance Agent
President & CEO,Chief Executive Officer
Assistant,Transportation Specialist
post,Information Technology Generalist
Operational SE,Information Technology Generalist
without,Unemployed
Security Officer,Security Engineer
Pear,Information Technology Generalist
front,Administrative Employee
Head Teacher,Education Professional
Executives,Information Technology Manager
Assistant Group Manager,Finance Manager
Information Security Officer,Information Security Specialist
Employee in charge,Information Technology Manager
Operations Engineer,Engineer
researcher,Research Development Researcher
Software Development,Software Developer
Contract Employees,Information Technology Generalist
newcomer,Information Technology Generalist
Service Positions,Professional Engineer
None in particular,Information Technology Generalist
General office worker,Information Technology Generalist
Senior Manager,Director of Administration
Company Seal,Information Technology Generalist
labor,Human Resources Generalist
"Contracts, commissions, dispatches, etc.",Information Technology Generalist
Clerks,Information Technology Generalist
Construction Manager,Manager Positions
information service,Information Technology Generalist
Leader in charge,Manager Positions
Mechanical design,Computer Aided Design Engineer
Second place,Information Technology Generalist
R&D,Research Development Researcher
Electrical Design,Electrical Engineer
Research Assistants,Research Fellow
Systems Division,Infrastructure Engineer
In-house systems,System Administrator
Senior Professionals,Director of Administration
production,Manufacturing Manager
foreman,Information Technology Generalist
Adjuanciles,Information Technology Support Specialist
Development Management,Developer
QA Engineer,Quality Assurance Engineer
System Management Dept.,System Administrator
Senior Employees,Information Technology Generalist
director,Advertising Director
Divisions,Food Service Professional
Human Resources Officer,Human Resources Specialist
Maintenance and operation,Information Technology Generalist
doctor,Doctor
contract,Information Technology Generalist
retail,Retail Salesperson
Technology Development Dept.,Information Technology Generalist
intellectual property,Intellectual Property Specialist
Design Dept.,Computer Aided Designer
company employee,Office Worker
operator,Finance Specialist
Technology Center,Information Technology Generalist
President & Officer,President
User Support,Support Specialist
Senior Promoter,Director of Administration
Business Planning Dept.,Business Planner
Head of Business,Information Technology Manager
Planning,Business Planner
labor union,Human Resources Generalist
Technical Consultant,Information Technology Consultant
Support Staff,Support Specialist
With the President,Assistant
Clerk,Banker
Facility Maintenance,Mechanic and Maintenance Tradesperson
investigation,Research Development Researcher
Part-attached,Chemical Process Engineer
electricity,Electrical Engineer
Part-time,Information Technology Generalist
desk,Information Technology Help Desk
Product Marketing,Marketing Specialist
Senior Principal,Director of Administration
Clerical work,Administrative Employee
"Executive Officer, General Manager",Information Technology Manager
speciality,Information Technology Generalist
Construction Supervisor,Manager Positions
"General Manager, Information Systems Department",Information Technology Manager
Sales Representative,Sales Manager
Business Executive Officer,Executive Director
Administrative Positions,Information Technology Generalist
Production Planning,Manufacturing Manager
General Manager,Information Technology Manager
synthesis,Logistics Employee
Translation,Language and Localization Specialist
Deputy Group Leader,Manager Positions
System construction,System Architect
gym,Health Specialist
Digital Supporter,Information Technology Generalist
Digital Promotion Dept.,Information Technology Generalist
Front Engineer,Frontend Engineer
Senior Professionals,Director of Administration
Principal Staff,Information Technology Generalist
Planning Officer,Planning Manager
Insurance Agents,Insurance Agent
Internal Audit Office,Auditor
Information and Communications Department,Information Technology Generalist
Information Department,Information Technology Generalist
Technical Positions,Information Technology Generalist
instructor,Education Manager
secretary-general,Public Sector
Business Promotion Officer,Business Development Specialist
Business Management Department,Administrative Employee
construction,Construction Engineer
Person in charge of training,Trainer
Training Instructor,Trainer
In charge of in-house infrastructure,Infrastructure Manager
Senior Management Positions,Information Technology Manager
General Manager of Business Administration,Information Manager
General Affairs Group,Administrative Employee
evaluation,Information Technology Generalist
Development work,Developer
curator,Music Manager
Administrative duties,Information Technology Administrator
RPA Engineer,Robotics Engineer
System Developers,Developer
Senior Researcher,Research Employee
Chief Lead,Multimedia Specialist
Digital Innovation Division,Information Technology Generalist
Digital Strategy Dept.,Information Technology Generalist
finance,Finance Specialist
Meister,Research Employee
Business Strategy,Business Strategist
Personnel and Labor,Human Resources Specialist
work,Information Technology Generalist
Deputy Plant Manager,Manufacturing Manager
Medical Professions,Healthcare Worker
Assistant Counsellor,Legal Practitioner
"Executive Officer, General Manager",Executive
Specialized Contract,Information Technology Generalist
Professional Investigator,Research Employee
Technical Section,Information Technology Generalist
intellectual property,Intellectual Property Specialist
Internal System Administrator,System Administrator
Social seal,Information Technology Generalist
Corporate Administration Division,Administrative Employee
Research & Studies,Research Employee
materials,Information Technology Generalist
Material Procurement,Purchaser
Development Planning,Developer
management,Information Technology Administrator
Infrastructure Solutions Dept.,Information Technology Generalist
Customer Engineer,Engineer
Sub-Reader,Information Technology Generalist
Support Center,Support Specialist
Support Services,Support Specialist
System Groups,Infrastructure Engineer
Managerial positions (section managers and below),Manager Positions
Other Officers,Information Technology Generalist
Solution Development,Sales Engineer
Team Members,Research Employee
Digital Promotion Office,Digital Media Specialist
None,Healthcare Worker
Administrative Staff,Administrative Employee
Human Resource Development,Human Resources Specialist
Planning Office,Business Planner
Planning & Management Department,Business Planner
Planning & General Affairs,Business Planner
Accounting Manager,Accounting Manager
Proof of Integrity,Quality Assurance Engineer
Members,Real Estate Specialist
Technical Planning Dept.,Information Technology Generalist
Overseas Sales,Information Technology Generalist
None,Information Technology Generalist
Management Office,Administrative Employee
Corporate Strategy Office,Business Strategist
designer,Computer Aided Designer
Non-managerial,Information Technology Generalist
management,Manager Positions
Account Sales,Account Executive
Coordinator,Information Technology Generalist
System Engineering Dept.,Infrastructure Engineer
System-related,System Administrator
Software Design,Software Developer
Software design,Software Developer
Solution Division,Sales Engineer
Team Manager,Information Technology Manager
Data Management,Data Specialist
Digital Strategy Promotion Dept.,Information Technology Generalist
Network SE,Network Engineer
Product Development,Product Developer
Management Strategy,Business Strategist
Management,Research Employee
Business Development Dept.,Business Development Specialist
Planning Division,Business Planner
Accounting Section,Accountant
Control Design,Information Technology Generalist
Cooperating Employees,Information Technology Generalist
Printing industry,Print Specialist
wholesale,Sales Employee
Sales Management Division,Sales Employee
Government,Public Sector
Business Reform Promotion Department,Information Technology Generalist
Structural design,Infrastructure Engineer
Senior Staff,Information Technology Generalist
Temporary Engineer,Engineer
Temporary Staff,Information Technology Generalist
Untitled,Information Technology Generalist
Hospital Director,Medical Manager
Audit & Supervisory Committee Member,Auditor
In-house infrastructure management,Infrastructure Engineer
In-house information system management,Information Technology Administrator
Outside,Logistics Employee
Tax,Tax Specialist
Deputy Director of the Administrative Office,Director of Administration
Corporate Planning Division,Business Planner
General Affairs & Planning Department,Business Planner
General Planning Dept.,Business Planner
assistance,Information Technology Support Specialist
Design Support,Computer Aided Designer
Design work,Computer Aided Designer
Design Management,Computer Aided Designer
Finance & Accounting Department,Financial Professional
Materials Dept.,Purchaser
Export Control,Export Sales Specialist
Communication Services,Information Technology Generalist
Operational design,Operations Staff
Financial Services Business Group,Finance Specialist
financial institution,Finance Specialist
Development & Operation,Operations Specialist
Indirect Departments,Administrative Employee
[Employees (11)] [Stage B(25)] [ｍ(28)],Information Technology Generalist
ICT Information Systems Dept.,Information Technology Generalist
jp.linkedin.com,Information Technology Generalist
SE Ministry,Software Engineer
Associate Position,Research Employee
Infrastructure Architect,Infrastructure Architect
Infrastructure Specialist,Infrastructure Engineer
Expert Architect,Solutions Architect
Open Innovation Dept.,Information Technology Generalist
Customer Center,Customer Service Specialist
Custom Production Team,Product Manager
Cloud Services,Information Technology Generalist
Acting Group Leader,Information Technology Manager
Server operation,Infrastructure Engineer
Promoting Sustainability,Sustainability Specialist
Support Representative,Information Technology Support Specialist
General Manager,Human Resources Manager
System Planning Officer,Infrastructure Engineer
Senior Lead,Information Technology Generalist
Senior Application Specialist,Software Application Developer
Security Consulting,Information Technology Consultant
Security Monitoring,Threat Intelligence Analyst
SECOM Group Division,Information Technology Generalist
Solution Group,Sales Engineer
Solution Division,Sales Engineer
Solution Promotion,Sales Engineer
Solution Development Dept. 3,Sales Engineer
Chief IT Architect,Chief Information Technology Architect
Chief Planner,Planning Manager
Assistant Chief,Healthcare Worker
Data Analytics,Data Analyst
Data Engineering,Data Engineer
Data Strategy,Data Specialist
Theme Leader,Manufacturing Manager
Dexerials Inc.,Information Technology Administrator
General Digital Advisor,Information Technology Consultant
Hardware Engineer,Hardware Engineer
Business Assistant Leader,Finance Specialist
Field SE,Software Engineer
Fellow Advisors,Information Technology Consultant
Planning Staff,Business Planner
Planning Leader,Planning Manager
Product Manager,Product Manager
Front SE,Software Engineer
Manager (Section) /,Information Technology Manager
Media Innovation Center,Digital Media Specialist
Rounder,Information Technology Generalist
First Class Architect,Architect
Finance & Accounting,Accountant
Senior Specialist,Insurance Agent
Lead Team Leader,Information Technology Manager
Chief Manager,Information Technology Manager
Clerk,Administrative Employee
Administrative Technician,Information Technology Administrator
Clerical work,Administrative Employee
With General Manager,Assistant
Assistant General Manager,Technology Manager
Human Resources Division,Human Resources Specialist
Human Resource Training,Trainer
Planning office work,Administrative Employee
Planning Committee,Business Planner
Planning & Survey,Business Planner
Planning & Development Dept.,Business Planner
Deputy Director A,Engineering Manager
Maintenance work,Mechanic and Maintenance Tradesperson
Maintenance & Operation,Information Technology Generalist
insurance,Insurance Agent
Internal Control Department,Information Technology Generalist
Branch Manager,Manager Positions
Deputy General Manager of Business Division,Information Technology Manager
Deputy Promoter,Business Development Specialist
Mayor,Mayor
Sales SE,Sales Engineer
Deputy General Manager of Sales Office,Sales Manager
International Cooperation Specialist,Information Technology Generalist
local government,Public Sector
Infrastructure construction,Infrastructure Engineer
experiment,Scientist
Dedicated Engineer,Engineer
Full-time assistant manager,Information Technology Manager
Deputy General Manager,Director General
Deputy General Manager,Information Technology Manager
Expert Committee Members,Information Technology Generalist
Professional Employees,Information Technology Generalist
Deputy Chief of Construction,Manager Positions
Boardroom,Chief Technology Officer
Information Systems Service Dept.,Information Technology Generalist
Information System Operation Management,Information Technology Generalist
Employees of the Information Systems Department,Information Technology Generalist
Information Security Division,Information Technology Generalist
Promotion of informatization,Information Technology Generalist
Information Management Department,Information Technology Administrator
strategy,Business Strategist
Assistant Director,Director of Research Development
Technical Development Positions,Technology Development Engineer
Operation & Maintenance,Operations Specialist
Deputy Director in Charge,Technology Manager
Mentors,Information Technology Manager
Promotion Department,Information Technology Generalist
Travel Expense Team,Travel and Tourism Professional
Headquarters Staff,Information Technology Generalist
Business Groups,Information Technology Generalist
Promotion of business reform,Business Development Specialist
Business Division,Business Development Specialist
Business Audit Department,Auditor
Operations Officer,Information Technology Manager
Corporate Sales Department,Sales Employee
Legal Specialist,Legal Practitioner
Production Engineer,Information Technology Generalist
Production control and process control,Administrative Employee
Production Design,Computer Aided Designer
Audit Office,Auditor
Training Management,Human Resources Specialist
Research Principal Investigator,Chief Research Officer
R&D Division,Research Development Researcher
In-house help desk,Information Technology Help Desk
In charge of internal information systems,Information Technology Manager
In-house Information Systems Division,Information Technology Generalist
Head of Administrative Office,Administration Manager
Business Administration Office,Administrative Employee
statistics,Data Analyst
General construction industry,Construction Engineer
Chief Examiner,Public Sector
Clinical Development,Healthcare Worker
Chigasaki Research Institute,Research Employee
Pharmaceutical Affairs Department,Healthcare Worker
Facility Development,Computer Aided Designer
Medical Information Manager,Medical Manager
Investigator,Research Employee
Procurement Management,Purchaser
Sales Planning,Business Planner
Collaboration Supervisor,Research and Development Manager
Operations Dept.,Operations Staff
Deputy Head of Department,Director of Information Technology
Attached to the Minister,Assistant
Indirect operations,Administrative Employee
Non-Employed Persons,Information Technology Generalist
Customer Engagement,Customer Service Specialist
Promotion of BPR,Information Technology Generalist
ICT Promotion Division,Information Technology Generalist
IT Infrastructure Division,Infrastructure Engineer
Operation & Maintenance,Operations Specialist
customer service,Service Support Specialist
Application SE,Software Application Developer
Infrastructure Operations,Infrastructure Engineer
Expert System Consultant,Information Technology Consultant
Enterprise Business Unit,Information Technology Generalist
Kitting,Infrastructure Engineer
Cloud Operations,Cloud Engineer
Corporate Communications Dept.,Information Technology Generalist
Head of System Group,Infrastructure Manager
System planning and development,Infrastructure Engineer
Systems Jobs,System Administrator
System operation,System Administrator
Head of System Operations Group,Infrastructure Manager
System Development Planning,Infrastructure Engineer
Deputy Chief of Staff,Manager Positions
Security Suggestions,Sales Specialist
Software Design,Software Developer
Software Development Department,Software Developer
Software Developers,Software Developer
It Pro,Sales Engineer
Chief Searcher,Chief Research Officer
Assistant Team Leader,Research and Development Manager
Data Centers,Data Specialist
Technical Support Dept.,Technical Support Representative
Digital Innovation Dept.,Information Technology Generalist
Digitalization Promotion Office,Information Technology Generalist
Digital Management Department,Information Technology Administrator
Network Design,Network Engineer
Hardware Design,Hardware Engineer
Business Innovation Dept.,Business Development Specialist
Business Planner,Business Planner
Project Coordinator,Project Administrator
Marketing Strategy Dept.,Marketing Specialist
Marketing Positions,Marketing Specialist
Director of Management Planning,Planning Director
Medical Affairs Department,Healthcare Worker
License Management,Information Technology Administrator
General full-time employee,Information Technology Generalist
Senior Engineer,Engineer
Senior Specialist,Director of Administration
advanced level,Research Employee
Senior Systems Analyst,System Analyst
Principal Manager,Information Technology Manager
Business Division,Information Technology Generalist
Business Management Department,Administrative Employee
Human Resources Division,Human Resources Specialist
Planning Supervisor,Planning Manager
Planning & Design,Computer Aided Designer
Development Management Dept.,Developer
Electronic circuit design,Computer Aided Designer
BIM Promotion,Information Technology Generalist
"Developer, Sales & Business Development",Business Development Specialist
ICT Solution Division,Information Technology Generalist
ICT Management Office,Information Technology Administrator
IT System Personnel,Information Technology Generalist
IT Trainer/Instructor,Technology Instructor
IT Development,Information Technology Generalist
MS365 Implementation Officer,Information Technology Generalist
o365 Support Desk,Information Technology Generalist
Web Designer,Web Designer
Advisory SE,Information Technology Consultant
Infrastructure construction and operation,Infrastructure Engineer
Cloud Maintenance,Cloud Engineer
Certified Professionals,Information Technology Generalist
In charge of server operation,Infrastructure Engineer
Subcontractor Orderer,Information Technology Generalist
Maintenance and operation of the system,System Administrator
System planning and operation,System Administrator
System operation,System Administrator
Senior Sales Staff,Sales Employee
Senior Principal Specialist,Information Technology Generalist
School Assistant,Information Technology Generalist
Solution Engineering Dept.,Sales Engineer
Data Center Operations,Data Specialist
Database Administrator/Operator,Database Administrator
Data Analysis/Business Analytics,Data Analyst
Desktop/End-User Contacts,Sales Engineer
Desktop Configuration Administrator,System Administrator
Documentation,Document Controller
Business Manager,Business Development Manager
Business Produce,Business Development Specialist
Pro-Senior,Information Technology Generalist
Line Length,Manager Product Management
Lead IT Engineer,Information Technology Engineer
Remote Help Desk,Information Technology Help Desk
General Classes,Advertising Specialist
General Technology,Information Technology Generalist
Senior Engineer,Engineer
Principal Class,Information Technology Manager
Administrative and planning,Administrative Employee
Administrative Planning,Administrative Employee
Human Resource Development Center,Human Resources Specialist
Human Resources Strategy,Human Resources Specialist
Counselor in charge of planning,Planning Manager
General Manager of Planning & Development,Business Development Manager
Chief of Staff Class,Information Technology Manager
Interior,Information Technology Generalist
Deputy Responsible Person,Information Technology Manager
Assistant Counsellor,Legal Practitioner
Product Technology,Information Technology Generalist
"Sales, Planning",Sales Employee
Sales & Sales,Sales Employee
Sales Representative Acting,Sales Manager
Sales Promotion Division,Sales Employee
Sales Education Department,Trainer
Executive Officer and General Manager,Executive
Key Employees,Infrastructure Engineer
Government Office Sales,Sales Employee
Full-time Deputy Director,Director of Information Technology
Professional Principal,Information Technology Manager
"Professions (doctors, lawyers, etc.)",Doctor
Professional Senior,Information Technology Generalist
Standing Audit & Supervisory Board Member,Chief Audit Executive
Architectural equipment design,Architect
Affection,Information Technology Generalist
Information System Reform Office,Information Technology Generalist
Technical Manager,Information Technology Manager
Technical Planning Dept.,Information Technology Generalist
Technical Assessment/Research Officer,Information Technology Generalist
Technical Research Officer,Research Employee
Investigator in charge,Information Technology Generalist
Broadcasting Technology,Information Technology Generalist
New Business Planning,Business Development Specialist
General Manager,Information Technology Manager
Business Application Development,App Developer
Deputy General Manager and Section Manager Class,Medical Manager
Overseas Projects,Information Technology Generalist
Logistics planning,Logistics Specialist
Head of Production Technology Department,Information Technology Generalist
Production Technology Development Dept.,Information Technology Generalist
Production Department Manager,Manufacturing Manager
Intellectual Property Management,Intellectual Property Specialist
Corporate Audit Department,Auditor
General Manager,Information Technology Manager
General Affairs & IT Operations Department,Information Technology Generalist
General Affairs Group Manager,Administration Manager
General Planning Office,Business Planner
Pharmaceutical,Pharmaceutical Scientist
Head of Production,Manufacturing Manager
Section Manager,Manager Positions
Sales Manager,Sales Manager
Material Purchasing,Purchaser
Buying a business,Purchaser
Operational support,Operations Staff
banking,Banker
Development & Planning,Information Technology Generalist
Development Support,Developer
Development Planning Staff,Business Planner
indirection,Administrative Employee
Electric Power Business,Information Technology Generalist
Field Service,
Associate manager,
individual,
Senior Associate,
sponsor,
Foreman,
Specialist,
staff,
senior,
Manufacturing Operator,
supervisor,
maker,
Senior Supervisor,
unknown,
Field Representative,
Fellow,
Freelance Writer,
Corporate Headquarters,
master,
part-time,
Business users,
Senior Analyst,
junior,
head office,
Manufacturing Dept.,
Specialist Officer,
Corporate Communications,
user,
Vice President,
Senior Fellow,
Professional Staff,
Vice,
business,
Senior Specialist,
Production & Manufacturing Related General Employees,
Other: Miscellaneous,
Production/Manufacturing Others,
"Examination and Registration Division, General Employees and Staff",
"Headquarters, Others",
blogger,
Hoge,
Senior Expert,
Lead Specialist,
Senior Coordinator,
East Japan Public SI Part 1 None,
"Alliance Division, General Staff",
Osaka Branch Kishiwada Office General Employees and Staff,
Chief Consultant,
Headquarters: TSC,
Communication Planner,
Full-time Chief,
Chief Advisor,
Tsukudo 4 Techniques 3 Dedicated,
test,
Professional Roles,
Professional Services,
Fourth Director,
weather forecaster,
Person in charge,
examiner,
Parent Association Officer TCR,
Team Members,
"Nico Nico Division, Development",
Senior Agent,
Senior Professionals,
Parts Machining TCR,
Chief Editor,
Lead Supervisor,
Business Platform Department/Expert,
"49. Production, Manufacturing and Inspection",
manufacturer,
It seems that the choice pull-down does not appear on the smartphone Full-time employee,
Members of the Club Members,
"Vice President, General Manager",
President's Office General,
AM,
in-house,
Business Associate,
Lead Expert,
DX,
"Division 2, Tsukishima Machinery Co., Ltd. (resident)",
Production Engineer,
communicator,
Individual: None,
※Freelance,
DX Produce Division,
Production Support,
email,
Chief Analyst,
Project Associate,
Foreman TCR,
Principal Specialist,
"Other, professionals, special positions, etc.",
Other.,
"Sub-Leader, Brand & Digital Department",
Manufacturing/Production,
Senior Analyst I.,
Platform Specialist,
Project Analyst,
Domain Experts,
Senior Coordinator,
A&IS Miscellaneous,
(Freelance),
Tokyo Headquarters: None,
Senior Fellow,
Site Supervisor,
"Corporate Headquarters, No Title, TCR",
Business Group Systems Group TCR,
Supervisor TCR,
(Freelance),
Clean Equipment Dept.,
group,
WIS Division/Staff,
Lead Staff,
"TC General TT Business Division, General Employees and Staff",
project,
free,
Undecided,
Tokyo,
Tokyo,
Asahi Kasei Corporation,
"Tokyo, Japan",
"Tokyo, Tokyo, Japan",
Sojitz Planet Corporation Tokyo,
Japan,
"Yokohama, Kanagawa, Japan",
Otsuka Corporation,
I can't get it,
"Is your sales department a digital skeptic? Proponents? The correlation between digital transformation and revenue growth is revealed! ""Digital Transformation in Sales: Elevating the Art of Customer Engagement""",
　without,Unemployed
　Sales Dept.,Sales Employee
　Manager,Sales Specialist
"""Manager: Chief Telecommunications Technician (Transmission Exchange)",Managing Director
( Chief Engineer,Unemployed
(None),Professor
(None),Doctor
(Leader),Information Technology Manager
(General employees),Administrative Employee
(General employees),Administrative Employee
(Chief Referee),Information Technology Manager
(Individual),Information Technology Generalist
"(PARTICIPATION AS AN INDIVIDUAL, MICROSOFT MVP)",Information Technology Generalist
(Sales),Sales Specialist
(General Manager),Information Technology Manager
(Senior Vice President),Managing Director
(Person in charge),Unemployed
(Dispatch),Professor
(Temporary employee),Doctor
(Unemployed),Unemployed
"(Functional Group) Environmental & Social Solutions Division, Sustainability Promotion Department",Sales Manager
(Section Manager),Unemployed
(Section Manager Class),Owner
(Retired),Digital Media Specialist
(Retired),Retired
professor,Professor
". Digital Process Department, Digital Strategy Department, DX Strategy Headquarters, Section 1",Information Technology Generalist
.doctor,Doctor
？ associate professor,University Professor
[14000] Section Manager,Sales Specialist
[4008] Sales Office Manager,Sales Manager
[5000] Section Manager,Administration Manager
[Full-time] (Core Staff),Administrative Employee
[Temporary Employee],Contract Worker
^Unemployed,Unemployed
_section chief,Administration Manager
[Sole proprietorship],Owner
○,Chief Executive Officer
00. Employees,Administrative Employee
00566 (Section Manager),Administration Manager
00755 (Director),Information Technology Manager
00973 (Director),Information Technology Manager
"0648 (IBM JAPAN DIGITAL SERVICES COMPANY Japan IBM DIGITAL SERVICES CO., LTD.)",Digital Media Specialist
101 Heads,Information Technology Manager
102 Deputy Governor-General,Director of Information Technology
120 Deputy Director,Director of Information Technology
1 Section Manager,Administration Manager
2WAY Lease Marketing/Marketing Designer,Marketing Specialist
2 years 9 months,Information Technology Generalist
2 Section Manager,Administration Manager
313 Director,Information Technology Manager
320 Deputy Director,Director of Information Technology
350 managers,Information Technology Manager
365,Administrative Employee
TCR in charge of 365,Administrative Employee
3D Artist/Anime,Animator
3D Data Utilization,Information Technology Generalist
3D Residential CAD Projects,Computer Aided Design Engineer
3PL Advisors,Consultant
46. Research and Development,Developer
47. System Administration and Maintenance,Information Technology Generalist
"48. Engineer, Design, Design, Creativity",Engineer
4 Group Leader,Information Technology Manager
50. Information Processing and Operations,Information Technology Generalist
5070 Teacher,School Teacher
579: General Manager,Information Technology Manager
6000 Section Chief,Information Technology Generalist
AC Consultant,Consultant
AC Development Dept. AC Development G,Software Developer
Platform Software Development for ADAS,Software Developer
DIRECTOR OF AI AND DATA,Director of Artificial Intelligence
AI DX Promotion Department,Information Technology Manager
"AI FRONTIER Department, Group Leader",Information Technology Generalist
"Secretary General, AI IN ID-POS Collaborative Research Forum",Research Employee
"AI SOLUTION Business Division, Software Engineer",Software Engineer
AI Operations Office,Artificial Intelligence Specialist
Head of AI Development,Director of Artificial Intelligence
"Development Manager, AI Phone Division",Development Manager
AI/LLM Division,Artificial Intelligence Specialist
AI/ML Engineer,Artificial Intelligence Engineer
AI Engineer,Artificial Intelligence Engineer
AI Consulting,Artificial Intelligence Engineer
AI Consultant,Artificial Intelligence Specialist
AI Senior Engineer,Artificial Intelligence Engineer
AI Specialist,Artificial Intelligence Specialist
AI Solution Sales,Sales Specialist
"AI Solution Promotion Department, Section Manager",Manager of Artificial Intelligence
AI Team Administrator,Manager of Artificial Intelligence
AI Business Consultant,Information Technology Consultant
AI Product Manager,Product Manager
AI Promotion & SALES,Sales Specialist
Head of AI Robotics,Development Manager
Promoting the introduction of AI,Information Technology Generalist
AI Strategy Business Unit,Information Technology Generalist
"AI Strategy Business Unit, Research & Development Development Unit",Information Technology Generalist
AI Strategy Office,Information Technology Generalist
AI Promotion Officer,Information Technology Manager
Utilization of AI,Information Technology Generalist
AI Researcher,Research Development Researcher
AI Research Institute Researcher,Research Development Researcher
AI Development,Developer
"AI Development Department, General Employees and Staff",Artificial Intelligence Engineer
ALIBABA CLOUD SOLUTION ARCHITECT,Architect
ALM Solution Dept.,Information Technology Generalist
AMS Solutions Engineer,Engineer
ANDROID R&D GROUP,Developer
ANSBU Section Chiefs and Supervisors,Information Technology Manager
"APPLICATIONS ENGINEER, GLOBAL INFORMATION TECHNOLOGY STRATEGY OFFICE, GLOBAL ARCHITECTURE SECTION, INFORMATION TOOL DEVELOPMENT GROUP",App Developer
AP Development,App Developer
"AP Development, PM",App Developer
"AP Development Section 1, Section Manager",Information Technology Manager
AWS Operator,Cloud Engineer
AZURE ENGINEER,Cloud Engineer
AZURE CONSULTANT,Information Technology Consultant
AZURE ENGINEER,Cloud Engineer
AZURE SUPPORT ENGINEER,Cloud Engineer
BUILD AND MANAGE SERVERS WITH AZURE,Cloud Engineer
AZURE Division,Information Technology Generalist
AZURE IMPLEMENTATION,Cloud Engineer
AZURE PROMOTION,Information Technology Generalist
IN CHARGE OF AZURE ENVIRONMENT,Information Technology Generalist
AZURE ADMINISTRATOR,Information Technology Administrator
B2B Marketing,Marketing Specialist
BASIS Consultant,Information Technology Generalist
BIGDATA Miscellaneous,Big Data Analyst
BIM/CIM Manager,Information Technology Manager
BIM Operator,Computer Aided Design Engineer
BIM Operator/Clerical,Computer Aided Design Engineer
BIM Consultant,Information Technology Generalist
BIM Director,Information Technology Generalist
BIM-related education,Information Technology Generalist
BI Engineer,Business Intelligence Engineer
BI Consultant,Information Technology Generalist
BI Development,Developer
BI Developer,Developer
"BLUSTELLAR Sales Management Department, Senior Professional",Sales Employee
BPOS Business Development Office,Information Technology Generalist
BPO Consulting,Information Technology Generalist
BPO Service Manager,Information Technology Manager
BPO Solution Dept.,Information Technology Generalist
BPO Manager,Information Technology Manager
Establishment of an environment for BPO projects,Information Technology Generalist
Director of BPO Department I,Information Technology Manager
BPR Promotion Dept.,Information Technology Generalist
"General Manager, BS Risk Management Unit",Manager Risk Management
"Head of Data Service Section, BS Management Department",Data Manager
"General Manager, DX Promotion Office, BT Division",Information Technology Manager
BUSINESS ADVISORY SERIES CONSULTANT,Consultant
BUSINESS IMPROVEMENT GROUP MANAGER,Business Development Manager
CAD Engineer,Information Technology Generalist
CAD Operations,Information Technology Generalist
CAD Operator,Information Technology Generalist
CAD Operator,Information Technology Generalist
CAD Systems Engineer,Computer Aided Design Engineer
CAD system operation support,Information Technology Generalist
Provision of services that combine CAD data and image processing technology,Information Technology Generalist
CAD Business,Information Technology Generalist
CAD Business 3D Housing CAD Projects,Information Technology Generalist
CAD Division,Information Technology Generalist
CAD Operational Support,Information Technology Generalist
CAD Development,Information Technology Generalist
CAE Engineer,Information Technology Generalist
CAE Consultant,Information Technology Generalist
CAE Solution Dept.,Information Technology Generalist
CAE Officer,Information Technology Generalist
CATV General Supervising Engineer,Information Technology Generalist
CBT Test Center Operators,Tester
CCOE Group Leader,Information Technology Manager
In charge of CCOE,Cloud Engineer
CCOE General Manager,Information Technology Manager
"General Manager, CC Digital Planning Office",Digital Manager
"Software Engineer, CDIO Office",Software Engineer
CDO Assistant,Information Technology Generalist
CEO,Chief Executive Officer
ＣＦＯ,Chief Financial Officer
CFO/Finance Officer,Chief Financial Officer
CFO & General Manager of Corporate Administration,Chief Information Officer
CG General Employees and Staff,Chief Information Officer
"General Manager, CG Systems Department",Chief Information Officer
"CHIEF OFFICER, MARKETING",Chief Information Officer
